"Id","Date","Time","Question","Details","Answer","Notes","Entered By","What type of questions?","What tools were used?","What forms were used?","If Technology Question:","Was the patron referred elsewhere?"
"o18611466","2017-11-18","18:07","","68","68","","Circulation Student","Head Count - Main","blank","blank","blank","blank"
"o18610139","2017-11-18","14:15","","","57","","Circulation Student","Head Count - Main","blank","blank","blank","blank"
"o18610025","2017-11-18","13:51","","","57","","Circulation Student","Head Count - Main","blank","blank","blank","blank"
"o18609495","2017-11-18","11:54","","  ","24","","Circulation Student","Head Count - Main","blank","blank","blank","blank"
"o18608798","2017-11-17","20:20","","","28","","Circulation Student","Head Count - Main","blank","blank","blank","blank"
"o18608326","2017-11-17","18:04","","","63","","Circulation Student","Head Count - Main","blank","blank","blank","blank"
"o18604370","2017-11-17","14:03","","","82","","Circulation Student","Head Count - Main","blank","blank","blank","blank"
"o18601785","2017-11-17","11:56","","","110","","Circulation Student","Head Count - Main","blank","blank","blank","blank"
"o18599822","2017-11-17","09:51","","","56","","Circulation Student","Head Count - Main","blank","blank","blank","blank"
"o18599129","2017-11-17","08:18","","","13","","Circulation Student","Head Count - Main","blank","blank","blank","blank"
"o18598598","2017-11-17","00:04","","","19","","Circulation Student","Head Count - Main","blank","blank","blank","blank"
"o18598237","2017-11-16","22:07","","","98","","Circulation Student","Head Count - Main","blank","blank","blank","blank"
"o18597158","2017-11-16","20:01","","","138","","Circulation Student","Head Count - Main","blank","blank","blank","blank"
"o18595621","2017-11-16","17:59","","","159","","Circulation Student","Head Count - Main","blank","blank","blank","blank"
"o18593334","2017-11-16","16:08","","","178","","Circulation Student","Head Count - Main","blank","blank","blank","blank"
"o18590080","2017-11-16","13:58","","","179","","Circulation Student","Head Count - Main","blank","blank","blank","blank"
"o18584480","2017-11-16","09:55","","","67","","Circulation Student","Head Count - Main","blank","blank","blank","blank"
"o18584478","2017-11-16","09:55","","67","","","Circulation Student","Head Count - Main","blank","blank","blank","blank"
"o18583553","2017-11-16","08:18","","","9","","Circulation Student","Head Count - Main","blank","blank","blank","blank"
"o18582702","2017-11-16","00:13","","40","40","","Circulation Student","Head Count - Main","blank","blank","blank","blank"
"o18582174","2017-11-15","22:07","","","106","","Circulation Student","Head Count - Main","blank","blank","blank","blank"
"o18581127","2017-11-15","20:14","","","137","","Circulation Student","Head Count - Main","blank","blank","blank","blank"
"o18579053","2017-11-15","18:10","","","120","","Circulation Student","Head Count - Main","blank","blank","blank","blank"
"o18576617","2017-11-15","16:17","","","206","","Circulation Student","Head Count - Main","blank","blank","blank","blank"
"o18573568","2017-11-15","14:23","","","177","","Circulation Student","Head Count - Main","blank","blank","blank","blank"
"o18569320","2017-11-15","11:55","","","152","","Circulation Student","Head Count - Main","blank","blank","blank","blank"
"o18566462","2017-11-15","09:51","","","62","","Circulation Student","Head Count - Main","blank","blank","blank","blank"
"o18552737","2017-11-15","08:26","","","16","","Circulation Student","Head Count - Main","blank","blank","blank","blank"
"o18551877","2017-11-15","00:07","","","29","","Circulation Student","Head Count - Main","blank","blank","blank","blank"
"o18551362","2017-11-14","22:14","","","123","","Circulation Student","Head Count - Main","blank","blank","blank","blank"
"o18550189","2017-11-14","20:12","120","","","","Circulation Student","Head Count - Main","blank","blank","blank","blank"
"o18547876","2017-11-14","17:56","","","92","","Circulation Student","Head Count - Main","blank","blank","blank","blank"
"o18544913","2017-11-14","16:06","","","170","","Circulation Student","Head Count - Main","blank","blank","blank","blank"
"o18541278","2017-11-14","14:03","","","135","","Circulation Student","Head Count - Main","blank","blank","blank","blank"
"o18537535","2017-11-14","11:54","","","163","","Circulation Student","Head Count - Main","blank","blank","blank","blank"
"o18534742","2017-11-14","09:55","","","66","","Circulation Student","Head Count - Main","blank","blank","blank","blank"
"o18533653","2017-11-14","08:14","","","7","","Circulation Student","Head Count - Main","blank","blank","blank","blank"
"o18532996","2017-11-14","00:07","","","43","","Circulation Student","Head Count - Main","blank","blank","blank","blank"
"o18532531","2017-11-13","22:22","","147","","","Circulation Student","Head Count - Main","blank","blank","blank","blank"
"o18531185","2017-11-13","20:12","","","158","","Circulation Student","Head Count - Main","blank","blank","blank","blank"
"o18529873","2017-11-13","18:46","","128","128","","Circulation Student","Head Count - Main","blank","blank","blank","blank"
"o18529288","2017-11-13","18:09","","","143","","Circulation Student","Head Count - Main","blank","blank","blank","blank"
"o18522987","2017-11-13","14:12","","","188","","Circulation Student","Head Count - Main","blank","blank","blank","blank"
"o18519305","2017-11-13","12:03","","","191","","Circulation Student","Head Count - Main","blank","blank","blank","blank"
"o18516456","2017-11-13","10:18","","","86","","Circulation Student","Head Count - Main","blank","blank","blank","blank"
"o18514916","2017-11-13","08:17","","","9","","Circulation Student","Head Count - Main","blank","blank","blank","blank"
"o18514019","2017-11-12","23:59","","","36","","Circulation Student","Head Count - Main","blank","blank","blank","blank"
"o18513742","2017-11-12","22:42","","","82","","Circulation Student","Head Count - Main","blank","blank","blank","blank"
"o18512893","2017-11-12","20:10","","","123","","Circulation Student","Head Count - Main","blank","blank","blank","blank"
"o18511866","2017-11-12","18:08","","","152","","Circulation Student","Head Count - Main","blank","blank","blank","blank"
"o18510827","2017-11-12","15:59","","","147","","Circulation Student","Head Count - Main","blank","blank","blank","blank"
"o18509926","2017-11-12","14:05","","","100","","Circulation Student","Head Count - Main","blank","blank","blank","blank"
"o18509401","2017-11-12","12:14","","","26","","Circulation Student","Head Count - Main","blank","blank","blank","blank"
"o18508530","2017-11-11","20:08","","","32","","Circulation Student","Head Count - Main","blank","blank","blank","blank"
"o18508265","2017-11-11","18:03","","","97","","Circulation Student","Head Count - Main","blank","blank","blank","blank"
"o18507645","2017-11-11","16:09","","","82","","Circulation Student","Head Count - Main","blank","blank","blank","blank"
"o18507012","2017-11-11","14:11","","","73","","Circulation Student","Head Count - Main","blank","blank","blank","blank"
"o18507009","2017-11-11","14:11","","","6","","Circulation Student","Head Count - Main","blank","blank","blank","blank"
"o18506467","2017-11-11","12:34","","","60","","Circulation Student","Head Count - Main","blank","blank","blank","blank"
"o18505299","2017-11-10","20:27","","","11","","Circulation Student","Head Count - Main","blank","blank","blank","blank"
"o18504998","2017-11-10","18:22","","","33","","Circulation Student","Head Count - Main","blank","blank","blank","blank"
"o18501742","2017-11-10","14:00","","","107","","Circulation Student","Head Count - Main","blank","blank","blank","blank"
"o18499934","2017-11-10","12:00","","","125","","Circulation Student","Head Count - Main","blank","blank","blank","blank"
"o18498091","2017-11-10","09:50","","","58","","Circulation Student","Head Count - Main","blank","blank","blank","blank"
"o18497388","2017-11-10","08:14","","","5","","Circulation Student","Head Count - Main","blank","blank","blank","blank"
"o18504208","2017-11-10","06:00","88","","","","Circulation Student","Head Count - Main","blank","blank","blank","blank"
"o18496319","2017-11-09","22:08","","","108","","Circulation Student","Head Count - Main","blank","blank","blank","blank"
"o18493868","2017-11-09","17:59","","","90","","Circulation Student","Head Count - Main","blank","blank","blank","blank"
"o18492016","2017-11-09","16:24","","","138","","Circulation Student","Head Count - Main","blank","blank","blank","blank"
"o18488930","2017-11-09","14:10","","","152","","Circulation Student","Head Count - Main","blank","blank","blank","blank"
"o18485731","2017-11-09","12:02","","","201","","Circulation Student","Head Count - Main","blank","blank","blank","blank"
"o18480666","2017-11-09","08:13","","","7","","Circulation Student","Head Count - Main","blank","blank","blank","blank"
"o18495629","2017-11-09","08:05","135","","","","Circulation Student","Head Count - Main","blank","blank","blank","blank"
"o18479827","2017-11-09","00:08","","","31","","Circulation Student","Head Count - Main","blank","blank","blank","blank"
"o18479279","2017-11-08","22:12","","","153","","Circulation Student","Head Count - Main","blank","blank","blank","blank"
"o18478203","2017-11-08","20:20","","","128","","Circulation Student","Head Count - Main","blank","blank","blank","blank"
"o18476154","2017-11-08","18:10","","","176","","Circulation Student","Head Count - Main","blank","blank","blank","blank"
"o18473587","2017-11-08","16:24","","","182","","Circulation Student","Head Count - Main","blank","blank","blank","blank"
"o18469379","2017-11-08","13:53","","","188","","Circulation Student","Head Count - Main","blank","blank","blank","blank"
"o18466228","2017-11-08","11:50","","","145","","Circulation Student","Head Count - Main","blank","blank","blank","blank"
"o18464112","2017-11-08","10:18","","","105","","Circulation Student","Head Count - Main","blank","blank","blank","blank"
"o18462624","2017-11-08","08:32","","","13","","Circulation Student","Head Count - Main","blank","blank","blank","blank"
"o18461749","2017-11-08","00:04","","","43","","Circulation Student","Head Count - Main","blank","blank","blank","blank"
"o18461186","2017-11-07","22:18","","","86","","Circulation Student","Head Count - Main","blank","blank","blank","blank"
"o18460050","2017-11-07","20:00","160","","","","Circulation Student","Head Count - Main","blank","blank","blank","blank"
