"Id","Date","Time","Question","Details","Answer","Notes","Entered By","What type of questions?","What tools were used?","What forms were used?","If Technology Question:","Was the patron referred elsewhere?"
"o17502241","2017-09-21","07:44","","","87223","","Circulation Student","Gate Count","blank","blank","blank","blank"
"o17481286","2017-09-20","07:42","","","81463","","Circulation Student","Gate Count","blank","blank","blank","blank"
"o17459759","2017-09-19","08:12","","","P075665","","Circulation Student","Gate Count","blank","blank","blank","blank"
"o17434911","2017-09-18","07:51","","","69440<br />","","Circulation Student","Gate Count","blank","blank","blank","blank"
"o17427649","2017-09-17","11:24","","","066580","","Circulation Student","Gate Count","blank","blank","blank","blank"
"o17423918","2017-09-16","10:13","","","A004203<br />
P064458","","Circulation Student","Gate Count","blank","blank","blank","blank"
"o17272783","2017-09-15","08:06","","","P060811","","Circulation Student","Gate Count","blank","blank","blank","blank"
"o17253036","2017-09-14","07:38","","","55095","","Circulation Student","Gate Count","blank","blank","blank","blank"
"o17232229","2017-09-13","07:45","","","49798","","Circulation Student","Gate Count","blank","blank","blank","blank"
"o17212371","2017-09-12","08:12","","","P044653","","Circulation Student","Gate Count","blank","blank","blank","blank"
"o17190454","2017-09-11","08:24","","","P038993","","Circulation Student","Gate Count","blank","blank","blank","blank"
"o17184052","2017-09-10","11:23","","","036285","","Circulation Student","Gate Count","blank","blank","blank","blank"
"o17180496","2017-09-09","09:33","","","035065","","Circulation Student","Gate Count","blank","blank","blank","blank"
"o17167799","2017-09-08","08:18","","","P031900","","Circulation Student","Gate Count","blank","blank","blank","blank"
"o17146473","2017-09-07","07:43","","","026737","","Circulation Student","Gate Count","blank","blank","blank","blank"
"o17121278","2017-09-06","07:45","","","","","Circulation Student","Gate Count","blank","blank","blank","blank"
"o17121277","2017-09-06","07:45","","","","","Circulation Student","Gate Count","blank","blank","blank","blank"
"o17121276","2017-09-06","07:45","","","021863","","Circulation Student","Gate Count","blank","blank","blank","blank"
"o17095273","2017-09-05","08:08","","","P016822","","Circulation Student","Gate Count","blank","blank","blank","blank"
"o17069514","2017-09-01","07:43","","","13969<br />","","Circulation Student","Gate Count","blank","blank","blank","blank"
"o17046617","2017-08-31","08:37","","","8880","","Circulation Student","Gate Count","blank","blank","blank","blank"
"o17039331","2017-08-30","17:08","","92","92","","Circulation Student","Gate Count","blank","blank","blank","blank"
"o17019982","2017-08-30","08:19","","","3822","","Circulation Student","Gate Count","blank","blank","blank","blank"
"o16990934","2017-08-29","07:57","","","999532","","Circulation Student","Gate Count","blank","blank","blank","blank"
"o16960691","2017-08-28","07:49","","","994809<br />","","Circulation Student","Gate Count","blank","blank","blank","blank"
"o16955455","2017-08-27","11:12","","","993876","","Circulation Student","Gate Count","blank","blank","blank","blank"
"o16939797","2017-08-25","07:29","","","993089<br />","","Circulation Student","Gate Count","blank","blank","blank","blank"
"o16921860","2017-08-24","07:29","","","992458","","Circulation Student","Gate Count","blank","blank","blank","blank"
"o16902006","2017-08-23","07:26","","","991825<br />","","Circulation Student","Gate Count","blank","blank","blank","blank"
"o16882837","2017-08-22","07:07","","","991265","","Circulation Student","Gate Count","blank","blank","blank","blank"
"o16864440","2017-08-21","06:32","","","990630","","Circulation Student","Gate Count","blank","blank","blank","blank"
"o16850849","2017-08-18","06:39","","","990230","","Circulation Student","Gate Count","blank","blank","blank","blank"
"o16841912","2017-08-17","07:01","","","989841","","Circulation Student","Gate Count","blank","blank","blank","blank"
